809465176964202546 - membre d'un serveur problématique | Ajouté par: 840985745182425108 | Le: 2025-08-21T14:46:36.226Z
1441831372682428628 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:46:46.556Z
889067450790981702 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:46:59.116Z
1209704901878480897 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:47:07.849Z
1344336103187943490 - utilisateut pro russe | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:54:37.131Z
1401894469669883997 - pro nazie | Ajouté par: 840985745182425108 | Le: 2025-11-25T20:55:01.081Z
925863511723237407 - menace hack | Ajouté par: 1295832086602715251 | Le: 2025-11-28T18:41:25.894Z
1438278532852748338 - porn | Ajouté par: 840985745182425108 | Le: 2025-12-03T18:38:45.675Z
1446651690051965080 - compte piratée | Ajouté par: 840985745182425108 | Le: 2025-12-08T15:52:59.730Z
1353083902725587077 - leak | Ajouté par: 840985745182425108 | Le: 2025-12-20T15:20:22.048Z
1379458821461770291 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1337013785940066334 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1072414536067469342 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1143507831547514930 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1060527579557277727 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1415007568761327636 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1414287670082801715 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1336660125724835842 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1206826203227365396 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1361357093340450909 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1177641490466484327 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1415640189900034108 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1177932958666063882 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1394573846614642789 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1394574657851752499 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1394573022710599700 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
851259770094092319 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1414507909592649728 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1377915254113304597 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1206583533422776371 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1416066361766969384 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
960056326287921192 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1416395216839118960 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1394576117490253834 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1414734210849046588 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1393845195514183820 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1416695865346625557 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1394925830072963123 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1385211660087857162 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1417142618969866330 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1399768725292318771 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1406090288589701270 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1404471165031813271 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1383827117074288670 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1413972226713059378 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1416585058780971159 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1420061734667948072 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
982674192996651008 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1390710418451988670 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1372871977643278457 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1446831132594274386 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1339700969650393190 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1449473790579839112 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1449793391037648920 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1442765962028912660 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1422846627181494323 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
980279418549321738 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
689673185938898989 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1437074114916519948 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1364258807877730335 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1401357960726446101 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1438130062414188644 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1184406533585502259 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1330132166750896253 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1343934646072901783 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1081232993722564670 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1421022478997913621 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1377786484937195542 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1424049362371215360 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1396544286434267246 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1444204011925274707 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1445721403067469897 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447622243743039579 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447616347151536149 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
456226577798135808 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1444114336497795164 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447622118765498501 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447628279036252301 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447508773659873321 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1446800141062373499 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447073500442660945 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1446771846409097339 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447644594455056567 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1446318906464796754 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1447658568487534848 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1446980930429391000 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1448803658417569908 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1443929400063164547 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1449640313470713937 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1449629868500451408 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1449639250797531302 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1445451291127185584 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
118156426640752652 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1438633640962560140 - raid | Ajouté par: 840985745182425108 | Le: 2025-12-21T14:12:04.647Z
1178156426640752652 - raideur | Ajouté par: 840985745182425108 | Le: 2025-12-21T17:30:42.951Z
1507893305483067406 - https://discord.com/channels/1137477774907543692/1220450484364509275/1511729716078444586 | Ajouté par: 840985745182425108 | Le: 2026-06-03T14:44:08.595Z
1503892464514240522 - https://discord.com/channels/1137477774907543692/1220450484364509275/1511729716078444586 | Ajouté par: 840985745182425108 | Le: 2026-06-03T14:44:08.606Z
1377649188162244710 - incitation au suicide, apology du nazisme, rasiste | Ajouté par: 1295832086602715251 | Le: 2025-12-22T22:39:18.730Z
1113455911906857082 - stan de neustrie | Ajouté par: 840985745182425108 | Le: 2025-12-31T17:47:29.696Z
1422809873103589408 - raid | Ajouté par: 1295832086602715251 | Le: 2026-01-05T20:19:27.599Z
1212431738219925568 - fdp | Ajouté par: 840985745182425108 | Le: 2026-01-07T19:55:04.577Z
1434626577567584410 - mec sus | Ajouté par: 840985745182425108 | Le: 2026-01-07T20:50:54.335Z
976285530000064512 - compte piratée | Ajouté par: 840985745182425108 | Le: 2026-01-14T12:03:21.058Z
1448054438857019402 - raid | Ajouté par: 840985745182425108 | Le: 2026-01-31T17:14:54.754Z
1466623298141163797 - r1id | Ajouté par: 1295832086602715251 | Le: 2026-02-11T21:21:36.256Z
1452902866544103466 - individu | Ajouté par: 1295832086602715251 | Le: 2026-02-11T21:50:47.339Z
1474482227848155299 - jeux d'argent illégal | Ajouté par: 840985745182425108 | Le: 2026-02-21T19:07:51.206Z
1473756806068175031 - createur de bot de raid | Ajouté par: 840985745182425108 | Le: 2026-02-25T20:27:00.223Z
1416706197150765083 - dev bot de raid | Ajouté par: 840985745182425108 | Le: 2026-02-25T21:04:43.688Z
1482111684691755058 - moron piratée | Ajouté par: 840985745182425108 | Le: 2026-03-15T14:13:45.488Z
439035397314707476 - Raideur + Dox + Swat, personne toxique de l'anticancer | Ajouté par: 840985745182425108 | Le: 2026-03-29T16:30:45.950Z
1252432390186602629 - raideuse | Ajouté par: 1295832086602715251 | Le: 2026-04-03T14:06:22.810Z
1477739933262282825 - insulte gratuite | Ajouté par: 1295832086602715251 | Le: 2026-04-06T15:42:25.265Z
1288073689052741642 - diffusion de porno | Ajouté par: 840985745182425108 | Le: 2026-04-14T19:08:03.197Z
1406998013867458621 - lien nsfw en bio | Ajouté par: 419033737607512065 | Le: 2026-04-19T14:34:08.194Z
1094651066236272678 - leak | Ajouté par: 1295832086602715251 | Le: 2026-05-05T20:49:09.123Z
1503987868929101954 - got phished | Ajouté par: 840985745182425108 | Le: 2026-05-29T18:56:48.706Z
1343052509970956389 - sexual picture | Ajouté par: 840985745182425108 | Le: 2026-05-29T19:01:47.646Z
1516893758761730062 - compte hacké | Ajouté par: 840985745182425108 | Le: 2026-06-21T06:07:56.879Z
1516696388451438622 - compte compromis | Ajouté par: 840985745182425108 | Le: 2026-06-21T06:25:01.115Z
892092107714592839 - raid | Ajouté par: 840985745182425108 | Le: 2026-06-24T16:42:00.000Z
1284648869027778642 - Menace de doxing / leak | Ajouté par: 840985745182425108 | Le: 2026-06-28T13:21:32.842Z
